UserId,ProductId
6,2
6,6
6,6
6,2
6,3
6,3
6,6
6,5
6,6
8,8
8,8
8,6
6,2
6,5
6,5
6,6
6,6
6,6
6,5
8,8
8,6
8,8
8,6
6,5
6,6
6,3
6,3
8,5
6,5
8,6
8,2
8,6
6,2
6,3
8,3
8,2
6,5
6,6
8,11
8,5
6,26
6,5
6,30
6,28
6,18
8,14
8,8
ce5e6410-884b-42c9-b71a-18d837a8630c,28
ce5e6410-884b-42c9-b71a-18d837a8630c,25
b8392a54-c61c-49f1-9729-15ede260d1c5,31
9,28
8,24
6,31
6,31
6,28
6,28
6,28
6,28
9,26
8,23
6,24
1a8a08ef-ce5e-4472-abf3-a18be332ff53,30
ce5e6410-884b-42c9-b71a-18d837a8630c,28
ce5e6410-884b-42c9-b71a-18d837a8630c,27
